,src,tgt,tag,loss
0,fpvure,fpvured,V;PST,0.9929912
190,mugogiom,mugogiomed,V;PST,1.477974
191,gcierajiae,gcierajiaed,V;PST,1.814175
192,porei,poreid,V;PST,1.4919283
193,chase,chased,V;PST,0.77773553
194,gdbbge,gdbbged,V;PST,1.8060639
195,sevek,seveked,V;PST,0.73306847
196,sqatf,sqatfd,V;PST,1.855362
197,mlstijn,mlstijned,V;PST,2.470574
198,gdcd,gdcded,V;PST,1.5440274
199,yaell,yaelled,V;PST,1.004153
200,captbvyte,captbvyted,V;PST,2.1534364
201,mucs,mucsed,V;PST,1.0584506
202,enyoudake,enyoudaked,V;PST,1.5380471
203,paccil,pacciled,V;PST,1.2978477
204,xogu,xogud,V;PST,1.587493
205,dicg,dicgged,V;PST,0.8982707
206,fdghlon,fdghloned,V;PST,1.2825919
207,ehal,ehaled,V;PST,0.87958467
208,dcck,dccked,V;PST,2.2482526
209,mtrk,mtrked,V;PST,1.2995434
210,arrange,arranged,V;PST,0.7565933
211,chuck,chucked,V;PST,0.6941831
212,tqrncr,tqrncred,V;PST,1.5600624
213,fight,fought,V;PST,2.1666672
214,rxt,rxted,V;PST,1.5277343
215,blivd,blivded,V;PST,0.7755792
216,nzte,nzted,V;PST,1.4555796
217,uheck,uhecked,V;PST,1.134485
218,puckqr,puckqred,V;PST,1.3530493
219,litt,litted,V;PST,0.69632727
220,yesn,yesned,V;PST,1.1181054
221,rain,rained,V;PST,0.6894387
222,tamz,tamzed,V;PST,1.089029
223,prefar,prefarred,V;PST,0.8747443
224,smsjy,smsjyd,V;PST,2.356024
225,cqox,cqoxd,V;PST,2.689422
226,annjz,annjzed,V;PST,1.1090614
227,rxtgre,rxtgred,V;PST,2.006612
228,lzxp,lzxped,V;PST,1.8357923
229,rseadl,rseadled,V;PST,0.92838603
230,safemk,safemked,V;PST,0.8383493
231,csiri,csiried,V;PST,0.9728703
232,mangbe,mangbed,V;PST,1.3021836
233,inkrjftye,inkrjftyed,V;PST,1.549822
234,itce,itceed,V;PST,1.7819225
235,nslf,nslft,V;PST,3.194699
236,expect,expected,V;PST,0.7313118
237,kape,kaped,V;PST,0.7845648
238,scatker,scatkered,V;PST,0.73561245
239,cpauk,cpauked,V;PST,0.8036423
240,stuecxh,stuecxhed,V;PST,1.6450396
241,rtzh,rtzhed,V;PST,1.263196
242,tbxi,tbxied,V;PST,2.8036728
243,cvkejut,cvkejuted,V;PST,1.714625
244,arvance,arvanced,V;PST,2.2370794
245,wobble,wobbled,V;PST,0.7221054
246,dzbnch,dzbnched,V;PST,2.5757537
247,aobe,aobeed,V;PST,1.7648342
248,scsgpe,scsgped,V;PST,1.3153539
249,seiga,seigaed,V;PST,1.002146
250,reduue,reduued,V;PST,1.3317071
251,sktass,sktassed,V;PST,0.78701997
252,znalz,znalzd,V;PST,1.914715
253,swlep,swlpt,V;PST,2.3349879
254,gint,ginted,V;PST,1.1392804
255,iox,ioxed,V;PST,0.99368626
256,mudkle,mudkled,V;PST,1.0394015
257,trip,tripped,V;PST,0.69115275
258,elnpy,elnpyed,V;PST,1.8145211
259,sncthpe,sncthped,V;PST,1.642254
260,cammt,cammted,V;PST,1.0593257
261,ventore,ventored,V;PST,0.7869837
262,krit,kritted,V;PST,0.86626637
263,infpct,infpcted,V;PST,0.9840354
264,cqmpsbin,cqmpsbined,V;PST,2.431576
265,quxdz,quxdzed,V;PST,1.2582814
266,lbfd,lbfded,V;PST,2.2616
267,msold,msolded,V;PST,2.3690364
268,vdotq,vdotqd,V;PST,1.4561831
269,cndb,cndbed,V;PST,1.7447522
270,kcu,kcuned,V;PST,1.2968242
271,iniewd,iniewded,V;PST,1.7953981
272,todple,todpled,V;PST,0.8467454
273,slulfte,slulfted,V;PST,1.2103267
274,teuvorize,teuvorized,V;PST,1.265486
275,garule,garuled,V;PST,0.72177726
276,mjst,mjsted,V;PST,2.4008234
277,uxasp,uxasped,V;PST,1.2537105
278,verbalzne,verbalzned,V;PST,0.99181867
279,rdslue,rdslued,V;PST,2.2202933
280,lgwy,lgwyed,V;PST,1.5179902
281,mxp,mxpped,V;PST,1.7815973
282,ntqip,ntqipped,V;PST,2.9768775
283,poyck,poycked,V;PST,0.87246025
284,ryast,ryasted,V;PST,1.1595433
285,ruoocge,ruoocged,V;PST,1.0668135
286,wzft,wzfted,V;PST,1.1729949
287,pviyqn,pviyqned,V;PST,1.8106714
288,parachuye,parachuyed,V;PST,1.5142957
289,yank,yanked,V;PST,0.8127037
290,agrps,agrpsed,V;PST,1.1043843
291,sgxoke,sgxoked,V;PST,1.1925514
292,resolve,resolved,V;PST,0.7800991
293,wueld,wuelded,V;PST,0.95953923
294,pylxsh,pylxshed,V;PST,1.3389668
295,wjwgme,wjwgmed,V;PST,2.3573694
296,jypg,jypgd,V;PST,1.2567958
297,vanhzh,vanhzhed,V;PST,1.5572332
298,hfgnt,hfgnted,V;PST,1.6309261
299,mzxch,mzxched,V;PST,1.9969558
300,travsfyrm,travsfyrmed,V;PST,1.2187331
301,walosh,waloshed,V;PST,0.8007709
302,weln,welned,V;PST,0.843336
303,paek,paeked,V;PST,0.9067117
304,stauwe,stauwed,V;PST,0.81092304
305,falf,falfed,V;PST,0.82825947
306,kagm,kagmed,V;PST,0.92652714
307,jeuk,jeuked,V;PST,0.7284799
308,nkwlr,nkwlred,V;PST,1.8014218
309,rbbveat,rbbveated,V;PST,1.887783
310,doqzxe,doqzxed,V;PST,2.052398
311,ehhdqbt,ehhdqbted,V;PST,1.673364
312,gigdve,gigdved,V;PST,1.6873568
313,splash,splashed,V;PST,0.69105273
314,bomp,bomped,V;PST,0.74223787
315,inttggue,inttggued,V;PST,1.4577348
316,fcap,fcapped,V;PST,0.94567966
317,cwup,cwupped,V;PST,1.037169
318,slqlu,slqlued,V;PST,1.4084738
319,resp,resped,V;PST,0.7934789
320,psy,psyted,V;PST,1.851725
321,aarjy,aarjied,V;PST,1.5380628
322,iricb,iricbed,V;PST,1.2703291
323,mop,mopped,V;PST,0.87437254
324,ezsy,ezsied,V;PST,0.9782286
325,bougce,bougced,V;PST,0.89550775
326,svuude,svuuded,V;PST,1.2062367
327,ratjxn,ratjxned,V;PST,1.560215
328,loo,looed,V;PST,0.8264563
329,fpmbde,fpmbded,V;PST,0.92399955
330,inpitde,inpitded,V;PST,1.0108129
331,squbfgle,squbfgled,V;PST,1.2630593
332,tlfnh,tlfnhed,V;PST,1.727787
333,bdoen,bdoened,V;PST,1.0643806
334,exuress,exuressed,V;PST,1.0029066
335,zpcz,zpczed,V;PST,1.1595408
336,snmfw,snmfwed,V;PST,1.7922387
337,ckji,ckjied,V;PST,2.4103932
338,xvle,xvleed,V;PST,1.9107739
339,shrirel,shrireled,V;PST,0.77157795
340,drwnload,drwnloaded,V;PST,1.2948489
341,tejvify,tejvified,V;PST,1.0384071
342,snatdh,snatdhed,V;PST,0.768513
343,leb,lebved,V;PST,1.5485656
344,turnt,turnt,V;PST,1.4389645
345,bkjbiqe,bkjbiqed,V;PST,2.1956184
346,marpon,marponed,V;PST,0.99682045
347,skjcrmct,skjcrmcted,V;PST,2.1714478
348,aid,aided,V;PST,0.8429487
349,umlvc,umlvced,V;PST,1.7523896
350,qhasi,qhasied,V;PST,2.4837284
351,har,harned,V;PST,1.4407533
352,brfdiend,brfdiended,V;PST,0.8008595
353,garble,garbled,V;PST,0.78896034
354,banny,bannied,V;PST,0.8071959
355,zmh,zmhed,V;PST,1.1619616
356,ssize,ssizeed,V;PST,1.5162857
357,hutch,hutched,V;PST,0.69903
358,mkjsozsone,mkjsozsoned,V;PST,2.121342
359,pundzere,pundzered,V;PST,1.2359918
360,lcnd,lcnt,V;PST,2.711586
361,qkack,qkacked,V;PST,2.6501656
362,poujce,poujced,V;PST,0.9135824
363,sawermvse,sawermvsed,V;PST,1.4941375
364,drsdhkde,drsdhkded,V;PST,1.8055868
365,fribn,fribned,V;PST,1.4826988
366,mad,madred,V;PST,1.9709123
367,eqvufe,eqvufed,V;PST,1.5454077
368,ilccz,ilcczed,V;PST,1.7506934
369,thrbuscn,thrbuscned,V;PST,1.2303392
370,illjslskce,illjslskced,V;PST,1.8872309
371,ppast,ppasted,V;PST,0.78264093
372,soivmr,soivmred,V;PST,1.5699155
373,fkask,fkasked,V;PST,0.87521535
374,tmwgy,tmwgyd,V;PST,3.619806
375,revdrse,revdrsed,V;PST,1.1670163
376,wost,wostd,V;PST,1.7388757
377,eomq,eomqed,V;PST,1.2759298
378,gzdg,gzdgged,V;PST,1.4739624
379,pyozett,pyozetted,V;PST,1.4146955
380,recovyr,recovyred,V;PST,1.137364
381,chahser,chahsered,V;PST,0.8596169
382,rggbr,rggbred,V;PST,1.4268234
383,bilrpw,bilrpwed,V;PST,1.3136287
384,hkain,hkained,V;PST,0.92665315
385,pew,pewed,V;PST,0.7836321
386,cvbsel,cvbseled,V;PST,1.7247012
387,ikqlxepce,ikqlxepced,V;PST,2.2638092
388,rakm,rakmd,V;PST,1.5302501
389,ctyhk,ctyhked,V;PST,1.1886637
390,pkbqndun,pkbqnduned,V;PST,1.6890271
391,tcile,tciled,V;PST,1.1834583
392,klht,klhtted,V;PST,1.1892152
393,lnsr,lnsred,V;PST,2.0073586
394,pteseut,pteseuted,V;PST,1.5185182
395,fopn,fopned,V;PST,0.8993097
396,dudbble,dudbbled,V;PST,1.5288211
397,pukr,pukred,V;PST,1.2851263
398,coaymelend,coaymelended,V;PST,1.1783929
399,pdpse,pdpsed,V;PST,1.6450202
400,sfafion,sfafioned,V;PST,0.77202994
401,sravel,sraveled,V;PST,0.8346867
402,bylqom,bylqomed,V;PST,1.1414759
403,crzwl,crzwled,V;PST,1.1244795
404,plactrbe,plactrbed,V;PST,1.0957694
405,ncaur,ncaurred,V;PST,0.958469
406,shtp,shtpped,V;PST,1.1592612
407,xoedx,xoedxed,V;PST,1.428102
408,selas,selased,V;PST,0.78221476
409,tnamq,tnamqed,V;PST,1.072061
410,srgyent,srgyented,V;PST,1.0942135
411,bkomaom,bkomaomed,V;PST,0.86374176
412,pbjtd,pbjtdd,V;PST,1.6339492
413,aip,aipped,V;PST,0.9857722
414,ornjmsst,ornjmssted,V;PST,1.439298
415,jeql,jeqled,V;PST,0.9696046
416,seeeten,seeetened,V;PST,0.9235856
417,sditch,sditched,V;PST,0.73277307
418,nkstae,nkstaed,V;PST,1.9306822
419,mhumb,mhumbed,V;PST,0.87543297
420,brjathe,brjathed,V;PST,0.965483
421,dwyluqb,dwyluqbed,V;PST,1.3866374
422,griln,grilned,V;PST,1.2644315
423,ovcrwhelm,ovcrwhelmed,V;PST,1.4555492
424,ane,aned,V;PST,0.7797903
425,fijic,fijicked,V;PST,0.84982026
426,svpawk,svpawked,V;PST,1.3286228
427,nswmc,nswmced,V;PST,2.746937
428,evajuate,evajuated,V;PST,1.0321469
429,hbbeyrbte,hbbeyrbted,V;PST,1.9136716
430,cokw,cokwed,V;PST,0.94422543
431,fbizf,fbizfd,V;PST,2.3540695
432,woyy,woyyed,V;PST,0.800679
433,etit,etited,V;PST,0.74002063
434,mgmrqe,mgmrqed,V;PST,2.9533362
435,ivzup,ivzuped,V;PST,1.9977698
436,tkw,tkwed,V;PST,1.4378866
437,rjwxtd,rjwxtded,V;PST,1.4897274
438,hanule,hanuled,V;PST,0.8567373
439,ulcp,ulcpped,V;PST,1.1623257
440,rejjcme,rejjcmed,V;PST,1.5445081
441,foncy,foncied,V;PST,1.0163054
442,ftean,fteaned,V;PST,0.9569266
443,fvaup,fvauped,V;PST,1.1130644
444,aeact,aeacted,V;PST,1.5514123
445,iqair,iqaired,V;PST,1.863563
446,crexw,crexwed,V;PST,0.9585228
447,ltdm,ltdmed,V;PST,1.9886405
448,glqrify,glqrified,V;PST,1.1350651
449,wapl,wapld,V;PST,1.4820367
450,fbhr,fbhrred,V;PST,1.6473597
451,assave,assaved,V;PST,0.8446906
452,cdasx,cdasxd,V;PST,1.9776453
453,conkmdbr,conkmdbred,V;PST,1.7171912
454,colfkrt,colfkrted,V;PST,2.1579127
455,dose,dosed,V;PST,0.6952405
456,nour,noured,V;PST,0.8905951
457,nnlxt,nnlxtted,V;PST,1.8323398
458,dhmjod,dhmjoded,V;PST,2.4969969
459,ecllome,ecllomed,V;PST,1.0270376
460,nkigh,nkighed,V;PST,1.5081248
461,tigdtmn,tigdtmned,V;PST,1.744592
462,yehnm,yehnmed,V;PST,1.2224195
463,pyrfcrm,pyrfcrmed,V;PST,1.1424382
464,sommgtault,sommgtaulted,V;PST,1.9777815
465,trnpr,trnpred,V;PST,1.1072835
466,respond,responded,V;PST,0.7145957
467,dkdcuws,dkdcuwsed,V;PST,1.7654921
468,vaay,vaaied,V;PST,0.84419405
469,toz,tozd,V;PST,1.5712456
470,swgvwy,swgvwyed,V;PST,1.7837404
471,crsprle,crsprled,V;PST,0.84986514
472,jjttinnn,jjttinnned,V;PST,2.0659297
473,seexixe,seexixed,V;PST,1.4441018
474,rznf,rznfd,V;PST,2.5246348
475,jyg,jygged,V;PST,0.91581386
476,cpmvseys,cpmvseysed,V;PST,2.0106642
477,lxmg,lxmgged,V;PST,1.9371171
478,sbtzre,sbtzred,V;PST,1.2900238
479,rwlau,rwlaued,V;PST,1.6364795
480,ofzrawe,ofzrawed,V;PST,1.0457244
481,pvcdaae,pvcdaaed,V;PST,2.3153725
482,sfuoonh,sfuoonhed,V;PST,0.9205044
483,cmaw,cmawed,V;PST,1.5153387
484,xmbs,xmbsed,V;PST,2.4733996
485,swdenk,swdenked,V;PST,1.334868
486,pwre,pwred,V;PST,0.88353205
487,trgsbwe,trgsbwed,V;PST,1.5747375
488,zinhd,zinhded,V;PST,1.4358642
489,prepaqe,prepaqed,V;PST,1.5622613
490,tszedhaje,tszedhajed,V;PST,1.6494339
491,chaenkl,chaenkled,V;PST,1.0488956
492,wirnih,wirnihed,V;PST,0.882179
493,trmbple,trmbpled,V;PST,1.4213006
494,refyieve,refyieved,V;PST,1.8180609
495,blmash,blmashed,V;PST,1.0796266
496,ccvam,ccvammed,V;PST,1.330122
497,hafse,hafsed,V;PST,0.76134765
498,pjczome,pjczomed,V;PST,1.1579353
499,dnvert,dnverted,V;PST,1.6538486
500,comnete,comneted,V;PST,0.8161681
501,lovsln,lovslned,V;PST,1.2832277
502,slkw,slkwed,V;PST,0.9050588
503,weld,welded,V;PST,0.72833854
504,frosq,frosqed,V;PST,0.9594245
505,guzzje,guzzjed,V;PST,1.1093646
506,dxrfnn,dxrfnned,V;PST,2.0155447
507,gurramhee,gurramheed,V;PST,1.347386
508,pgovi,pgovid,V;PST,1.3646096
509,walhow,walhowed,V;PST,0.8134447
510,cxqmxt,cxqmxtted,V;PST,2.8946414
511,didcokfnge,didcokfnged,V;PST,2.286453
512,schlrp,schlrpped,V;PST,1.1938813
513,oppimss,oppimssed,V;PST,1.4864479
514,qap,qapped,V;PST,1.3085889
515,pehkl,pehkled,V;PST,0.95295763
516,didmle,didmled,V;PST,0.9505419
517,clspisn,clspisned,V;PST,1.0261561
518,back,backed,V;PST,0.69602394
519,rpob,rpobed,V;PST,1.6840007
520,hsddle,hsddled,V;PST,1.1264893
521,nqsbdive,nqsbdived,V;PST,2.3019195
522,dazil,daziled,V;PST,0.81920093
523,absect,absected,V;PST,0.7770209
524,fuyur,fuyurd,V;PST,2.8198721
525,ugnoe,ugnoed,V;PST,1.2856042
526,paqk,paqked,V;PST,1.0875684
527,nuwna,nuwnad,V;PST,1.3382673
528,wang,wanged,V;PST,0.6948429
529,iow,iowed,V;PST,0.9167513
530,caus,caused,V;PST,0.7880478
531,najrote,najroted,V;PST,0.9314374
532,hotd,hotdd,V;PST,1.6631047
533,nump,numped,V;PST,0.8370172
534,gird,girded,V;PST,0.87368935
535,clsiqnr,clsiqnred,V;PST,1.8463771
536,ijtvmipbue,ijtvmipbued,V;PST,2.5002506
537,vrcapirn,vrcapirned,V;PST,1.176908
538,ratble,ratbled,V;PST,1.1543808
539,reyiot,reyioted,V;PST,1.1721606
540,thqd,thqd,V;PST,1.8967559
541,szculder,szculdered,V;PST,0.92499804
542,sekych,sekyched,V;PST,1.3094989
543,impeovhje,impeovhjed,V;PST,1.6247749
544,xigm,xigmed,V;PST,1.0604789
545,werdome,werdomed,V;PST,0.8318348
546,pewsvieae,pewsvieaed,V;PST,1.4780678
547,siazke,siazked,V;PST,0.8865275
548,rftdmr,rftdmred,V;PST,2.1094797
549,rothde,rothded,V;PST,1.3353052
550,rzpeat,rzpeated,V;PST,1.1210216
551,phrt,phrtted,V;PST,1.3930993
552,stjeomqine,stjeomqined,V;PST,1.7754177
553,eoksh,eokshed,V;PST,1.0931324
554,beder,bedered,V;PST,1.0967088
555,sngp,sngpped,V;PST,1.2564248
556,maryet,maryeted,V;PST,1.3375332
557,cpgp,cpgpped,V;PST,1.2998683
558,bowl,bowled,V;PST,0.73911756
559,epwrcxpe,epwrcxped,V;PST,1.6728675
560,rnae,rnaed,V;PST,1.2894846
561,cvatest,cvatested,V;PST,0.83735687
562,amovnt,amovnted,V;PST,2.084006
563,jeuk,jeuked,V;PST,0.7284799
564,ztp,ztpped,V;PST,1.0083143
565,blasp,blasped,V;PST,0.6949638
566,sprrp,sprrpped,V;PST,1.3230662
567,iraglne,iraglned,V;PST,1.6825395
568,detect,detected,V;PST,0.69543636
569,cefz,cefzed,V;PST,0.8282251
570,regulabe,regulabed,V;PST,1.1088045
571,cantent,cantented,V;PST,0.712282
572,featppr,featppred,V;PST,1.5605047
573,mzjb,mzjbed,V;PST,2.1762073
574,suppregs,suppregsed,V;PST,0.81359345
575,prccide,prccided,V;PST,0.8511983
576,jlpp,jlppped,V;PST,1.2543238
577,pwpande,pwpanded,V;PST,1.0360206
578,mimjy,mimjyked,V;PST,1.8618346
579,chsd,chsd,V;PST,1.7650311
580,pib,pibned,V;PST,1.6195574
581,rwouhe,rwouhed,V;PST,0.8833675
582,conzydekate,conzydekated,V;PST,1.638756
583,ymllew,ymllewed,V;PST,1.1094235
584,retojd,retojded,V;PST,1.1555954
585,wmoos,wmoosed,V;PST,0.72246325
586,guxde,guxded,V;PST,0.91850346
587,mwte,mwted,V;PST,2.4428337
588,wnih,wnihed,V;PST,0.9820467
589,aozyimhve,aozyimhved,V;PST,2.346145
590,sauuu,sauuud,V;PST,1.4309734
591,icdinkxe,icdinkxed,V;PST,1.2591522
592,yxp,yxpped,V;PST,1.5292844
593,atasi,atasied,V;PST,1.2909951
594,wimp,wimped,V;PST,0.7032382
595,ewqkerflshe,ewqkerflshed,V;PST,2.336988
596,float,floated,V;PST,0.6930625
597,descgve,descgved,V;PST,1.2235116
598,rimk,rimked,V;PST,0.87741816
599,ttjasdye,ttjasdyed,V;PST,1.3938259
600,sgud,sgudded,V;PST,0.91603285
601,snorl,snorled,V;PST,0.7207879
602,yoz,yozed,V;PST,1.0506277
603,akaropth,akaropthed,V;PST,1.2205428
604,strqrgle,strqrgled,V;PST,1.2890072
605,alcrmpdzsh,alcrmpdzshed,V;PST,2.8787959
606,exygi,exygied,V;PST,1.500911
607,euist,euisted,V;PST,0.7346904
608,noke,noked,V;PST,0.7363196
609,olaq,olaqged,V;PST,1.2063905
610,sdniweze,sdniwezed,V;PST,1.3228894
611,csomand,csomanded,V;PST,0.88758785
612,cacf,cacfed,V;PST,0.72524357
