,src,tgt,tag,length,loss
0,fpvure,fpvured,V;PST,8,7.9439297
100,msup,msuped,V;PST,7,14.57449
101,derian,derianed,V;PST,9,8.049211
102,dxice,dxiced,V;PST,7,12.268052
103,pvke,pvked,V;PST,6,11.165961
104,svlfp,svlfped,V;PST,8,18.229645
105,fid,fidped,V;PST,7,7.834148
106,concgcne,concgcned,V;PST,10,18.008438
107,hsgd,hsgded,V;PST,7,8.523782
108,arryst,arrysted,V;PST,9,9.984063
109,trick,tricked,V;PST,8,5.545477
110,swrsjnge,swrsjnged,V;PST,10,20.476877
111,requcre,requcred,V;PST,9,7.4984236
112,wbcy,wbcied,V;PST,7,9.652236
113,drkp,drkpped,V;PST,8,10.934114
114,cldmaer,cldmaered,V;PST,10,14.580717
115,suallow,suallowed,V;PST,10,8.459939
116,aamyleaate,aamyleaated,V;PST,12,24.89356
117,phnysh,phnyshed,V;PST,9,12.08956
118,capsp,capspd,V;PST,7,16.694338
119,ehlhg,ehlhgd,V;PST,7,12.850208
120,rexresdut,rexresduted,V;PST,12,16.364065
121,wxrn,wxrned,V;PST,7,8.706554
122,cohy,cohied,V;PST,7,6.668474
123,ngbk,ngbked,V;PST,7,14.781902
124,manuge,manuged,V;PST,8,12.524765
125,sjanh,sjanhed,V;PST,8,7.4716744
126,kwm,kwmed,V;PST,6,13.667358
127,iwviuaie,iwviuaied,V;PST,10,16.85659
128,lipter,liptered,V;PST,9,6.7401123
129,crehahe,crehahed,V;PST,9,8.926591
130,ctntkr,ctntkred,V;PST,9,13.706943
131,aasume,aasumed,V;PST,8,6.957364
132,gzar,gzared,V;PST,7,7.1050615
133,ufad,ufaded,V;PST,7,5.605225
134,tttrl,tttrled,V;PST,8,8.346762
135,hby,hbyed,V;PST,6,9.946791
136,deqlbr,deqlbred,V;PST,9,23.314922
137,cmell,cmelled,V;PST,8,8.163478
138,adtzh,adtzhed,V;PST,8,12.386103
139,coloest,coloested,V;PST,10,12.532136
140,scrazch,scrazched,V;PST,10,7.695515
141,rmdzie,rmdzied,V;PST,8,18.322695
142,fbrv,fbrvd,V;PST,6,13.542499
143,ncooo,ncoooed,V;PST,8,8.050136
144,ekgeee,ekgeeed,V;PST,8,14.42726
145,cooplirate,cooplirated,V;PST,12,9.581423
146,ixnerit,ixnerited,V;PST,10,9.329115
147,bslong,bslonged,V;PST,9,6.8459315
148,wrdbur,wrdbured,V;PST,9,15.302567
149,rwckmle,rwckmled,V;PST,9,14.240538
150,crosi,crosied,V;PST,8,10.530211
151,juft,jufted,V;PST,7,9.0259075
152,advestuse,advestused,V;PST,11,10.741835
153,cugsult,cugsulted,V;PST,10,8.329239
154,wmob,wmobed,V;PST,7,10.737164
155,herd,herded,V;PST,7,5.1648626
156,umsub,umsubbed,V;PST,9,6.9502907
157,jbzg,jbzgged,V;PST,8,14.128879
158,cfzgaike,cfzgaiked,V;PST,10,15.292549
159,tune,tuned,V;PST,6,4.669802
160,bloak,bloaked,V;PST,8,5.577305
161,sobnt,sobnted,V;PST,8,14.569262
162,offhe,offheed,V;PST,8,11.117015
163,atipgk,atipgked,V;PST,9,12.590571
164,flutter,fluttered,V;PST,10,7.146062
165,tosyp,tosypd,V;PST,7,14.79086
166,poifk,poifked,V;PST,8,8.3356085
167,shorten,shortened,V;PST,10,7.010326
168,cwpnch,cwpnched,V;PST,9,14.46319
169,dxnvt,dxnvted,V;PST,8,16.793997
170,propgl,propglled,V;PST,10,13.131928
171,explfin,explfined,V;PST,10,13.3456135
172,speport,speported,V;PST,10,8.550871
173,curle,curled,V;PST,7,4.971611
174,aee,aeed,V;PST,5,5.975003
175,salute,saluted,V;PST,8,5.6185846
176,foilow,foilowed,V;PST,9,6.9958043
177,hos,hosed,V;PST,6,6.2531123
178,clarqe,clarqed,V;PST,8,9.406857
179,stewne,stewned,V;PST,8,9.708171
180,dzksrwct,dzksrwcted,V;PST,11,20.978605
181,fnrbid,fnrbade,V;PST,8,19.332012
182,traznbort,traznborted,V;PST,12,16.013111
183,mpncp,mpncpd,V;PST,7,21.876244
184,yqlj,yqljed,V;PST,7,9.528403
185,xlear,xleared,V;PST,8,7.1244392
186,hynddtize,hynddtized,V;PST,11,13.540652
187,cikdode,cikdoded,V;PST,9,9.825346
188,spmam,spmam,V;PST,6,7.9431057
189,syitch,syitched,V;PST,9,9.453929
190,mugogiom,mugogiomed,V;PST,11,16.257715
191,gcierajiae,gcierajiaed,V;PST,12,21.7701
192,porei,poreid,V;PST,7,10.443499
193,chase,chased,V;PST,7,5.4441485
194,gdbbge,gdbbged,V;PST,8,14.448511
195,sevek,seveked,V;PST,8,5.8645477
196,sqatf,sqatfd,V;PST,7,12.9875345
197,mlstijn,mlstijned,V;PST,10,24.70574
198,gdcd,gdcded,V;PST,7,10.808192
199,yaell,yaelled,V;PST,8,8.033224
200,captbvyte,captbvyted,V;PST,11,23.687801
201,mucs,mucsed,V;PST,7,7.4091544
202,enyoudake,enyoudaked,V;PST,11,16.918518
203,paccil,pacciled,V;PST,9,11.68063
204,xogu,xogud,V;PST,6,9.524958
205,dicg,dicgged,V;PST,8,7.186166
206,fdghlon,fdghloned,V;PST,10,12.825919
207,ehal,ehaled,V;PST,7,6.1570926
208,dcck,dccked,V;PST,7,15.737768
209,mtrk,mtrked,V;PST,7,9.096804
210,arrange,arranged,V;PST,9,6.8093395
211,chuck,chucked,V;PST,8,5.553465
212,tqrncr,tqrncred,V;PST,9,14.040562
213,fight,fought,V;PST,7,15.16667
214,rxt,rxted,V;PST,6,9.166406
215,blivd,blivded,V;PST,8,6.2046337
216,nzte,nzted,V;PST,6,8.733478
217,uheck,uhecked,V;PST,8,9.07588
218,puckqr,puckqred,V;PST,9,12.1774435
219,litt,litted,V;PST,7,4.874291
220,yesn,yesned,V;PST,7,7.826738
221,rain,rained,V;PST,7,4.826071
222,tamz,tamzed,V;PST,7,7.623203
223,prefar,prefarred,V;PST,10,8.747443
224,smsjy,smsjyd,V;PST,7,16.492168
225,cqox,cqoxd,V;PST,6,16.136532
226,annjz,annjzed,V;PST,8,8.872491
227,rxtgre,rxtgred,V;PST,8,16.052896
228,lzxp,lzxped,V;PST,7,12.850546
229,rseadl,rseadled,V;PST,9,8.355474
230,safemk,safemked,V;PST,9,7.5451436
231,csiri,csiried,V;PST,8,7.7829623
232,mangbe,mangbed,V;PST,8,10.417469
233,inkrjftye,inkrjftyed,V;PST,11,17.048042
234,itce,itceed,V;PST,7,12.473457
235,nslf,nslft,V;PST,6,19.168194
236,expect,expected,V;PST,9,6.581806
237,kape,kaped,V;PST,6,4.707389
238,scatker,scatkered,V;PST,10,7.3561244
239,cpauk,cpauked,V;PST,8,6.429138
240,stuecxh,stuecxhed,V;PST,10,16.450396
241,rtzh,rtzhed,V;PST,7,8.842372
242,tbxi,tbxied,V;PST,7,19.62571
243,cvkejut,cvkejuted,V;PST,10,17.14625
244,arvance,arvanced,V;PST,9,20.133715
245,wobble,wobbled,V;PST,8,5.776843
246,dzbnch,dzbnched,V;PST,9,23.181784
247,aobe,aobeed,V;PST,7,12.353839
248,scsgpe,scsgped,V;PST,8,10.522831
249,seiga,seigaed,V;PST,8,8.017168
250,reduue,reduued,V;PST,8,10.653657
251,sktass,sktassed,V;PST,9,7.0831795
252,znalz,znalzd,V;PST,7,13.403006
253,swlep,swlpt,V;PST,6,14.009928
254,gint,ginted,V;PST,7,7.9749627
255,iox,ioxed,V;PST,6,5.9621177
256,mudkle,mudkled,V;PST,8,8.315212
257,trip,tripped,V;PST,8,5.529222
258,elnpy,elnpyed,V;PST,8,14.516169
259,sncthpe,sncthped,V;PST,9,14.780286
260,cammt,cammted,V;PST,8,8.474606
261,ventore,ventored,V;PST,9,7.082854
262,krit,kritted,V;PST,8,6.930131
263,infpct,infpcted,V;PST,9,8.856318
264,cqmpsbin,cqmpsbined,V;PST,11,26.747335
265,quxdz,quxdzed,V;PST,8,10.066251
266,lbfd,lbfded,V;PST,7,15.8312
267,msold,msolded,V;PST,8,18.952291
268,vdotq,vdotqd,V;PST,7,10.193281
269,cndb,cndbed,V;PST,7,12.213265
270,kcu,kcuned,V;PST,7,9.077769
271,iniewd,iniewded,V;PST,9,16.158583
272,todple,todpled,V;PST,8,6.773963
273,slulfte,slulfted,V;PST,9,10.89294
274,teuvorize,teuvorized,V;PST,11,13.920346
275,garule,garuled,V;PST,8,5.774218
276,mjst,mjsted,V;PST,7,16.805763
277,uxasp,uxasped,V;PST,8,10.029684
278,verbalzne,verbalzned,V;PST,11,10.910006
279,rdslue,rdslued,V;PST,8,17.762346
280,lgwy,lgwyed,V;PST,7,10.625932
281,mxp,mxpped,V;PST,7,12.471181
282,ntqip,ntqipped,V;PST,9,26.791897
283,poyck,poycked,V;PST,8,6.979682
284,ryast,ryasted,V;PST,8,9.276346
285,ruoocge,ruoocged,V;PST,9,9.601321
286,wzft,wzfted,V;PST,7,8.210964
287,pviyqn,pviyqned,V;PST,9,16.296043
288,parachuye,parachuyed,V;PST,11,16.657253
289,yank,yanked,V;PST,7,5.688926
290,agrps,agrpsed,V;PST,8,8.835074
291,sgxoke,sgxoked,V;PST,8,9.540411
292,resolve,resolved,V;PST,9,7.0208917
293,wueld,wuelded,V;PST,8,7.676314
294,pylxsh,pylxshed,V;PST,9,12.050701
295,wjwgme,wjwgmed,V;PST,8,18.858955
296,jypg,jypgd,V;PST,6,7.5407743
297,vanhzh,vanhzhed,V;PST,9,14.015099
298,hfgnt,hfgnted,V;PST,8,13.047409
299,mzxch,mzxched,V;PST,8,15.975646
300,travsfyrm,travsfyrmed,V;PST,12,14.624797
301,walosh,waloshed,V;PST,9,7.206938
302,weln,welned,V;PST,7,5.903352
303,paek,paeked,V;PST,7,6.346982
304,stauwe,stauwed,V;PST,8,6.4873843
305,falf,falfed,V;PST,7,5.7978163
306,kagm,kagmed,V;PST,7,6.48569
307,jeuk,jeuked,V;PST,7,5.0993595
308,nkwlr,nkwlred,V;PST,8,14.411374
309,rbbveat,rbbveated,V;PST,10,18.87783
310,doqzxe,doqzxed,V;PST,8,16.419184
311,ehhdqbt,ehhdqbted,V;PST,10,16.73364
312,gigdve,gigdved,V;PST,8,13.498855
313,splash,splashed,V;PST,9,6.219475
314,bomp,bomped,V;PST,7,5.195665
315,inttggue,inttggued,V;PST,10,14.577348
316,fcap,fcapped,V;PST,8,7.5654373
317,cwup,cwupped,V;PST,8,8.297352
318,slqlu,slqlued,V;PST,8,11.267791
319,resp,resped,V;PST,7,5.5543523
320,psy,psyted,V;PST,7,12.962075
321,aarjy,aarjied,V;PST,8,12.3045025
322,iricb,iricbed,V;PST,8,10.162633
323,mop,mopped,V;PST,7,6.120608
324,ezsy,ezsied,V;PST,7,6.8476005
325,bougce,bougced,V;PST,8,7.164062
326,svuude,svuuded,V;PST,8,9.649894
327,ratjxn,ratjxned,V;PST,9,14.041935
328,loo,looed,V;PST,6,4.958738
329,fpmbde,fpmbded,V;PST,8,7.3919964
330,inpitde,inpitded,V;PST,9,9.097316
331,squbfgle,squbfgled,V;PST,10,12.630592
332,tlfnh,tlfnhed,V;PST,8,13.822296
333,bdoen,bdoened,V;PST,8,8.515045
334,exuress,exuressed,V;PST,10,10.029065
335,zpcz,zpczed,V;PST,7,8.116785
336,snmfw,snmfwed,V;PST,8,14.33791
337,ckji,ckjied,V;PST,7,16.872753
338,xvle,xvleed,V;PST,7,13.375417
339,shrirel,shrireled,V;PST,10,7.71578
340,drwnload,drwnloaded,V;PST,11,14.243338
341,tejvify,tejvified,V;PST,10,10.384071
342,snatdh,snatdhed,V;PST,9,6.9166174
343,leb,lebved,V;PST,7,10.839959
344,turnt,turnt,V;PST,6,8.633787
345,bkjbiqe,bkjbiqed,V;PST,9,19.760565
346,marpon,marponed,V;PST,9,8.971384
347,skjcrmct,skjcrmcted,V;PST,11,23.885925
348,aid,aided,V;PST,6,5.057692
349,umlvc,umlvced,V;PST,8,14.019116
350,qhasi,qhasied,V;PST,8,19.869827
351,har,harned,V;PST,7,10.085274
352,brfdiend,brfdiended,V;PST,11,8.809455
353,garble,garbled,V;PST,8,6.3116827
354,banny,bannied,V;PST,8,6.457567
355,zmh,zmhed,V;PST,6,6.9717693
356,ssize,ssizeed,V;PST,8,12.130285
357,hutch,hutched,V;PST,8,5.59224
358,mkjsozsone,mkjsozsoned,V;PST,12,25.456102
359,pundzere,pundzered,V;PST,10,12.359919
360,lcnd,lcnt,V;PST,5,13.55793
361,qkack,qkacked,V;PST,8,21.201324
362,poujce,poujced,V;PST,8,7.308659
363,sawermvse,sawermvsed,V;PST,11,16.435513
364,drsdhkde,drsdhkded,V;PST,10,18.055868
365,fribn,fribned,V;PST,8,11.86159
366,mad,madred,V;PST,7,13.796387
367,eqvufe,eqvufed,V;PST,8,12.363261
368,ilccz,ilcczed,V;PST,8,14.005548
369,thrbuscn,thrbuscned,V;PST,11,13.533731
370,illjslskce,illjslskced,V;PST,12,22.64677
371,ppast,ppasted,V;PST,8,6.2611275
372,soivmr,soivmred,V;PST,9,14.12924
373,fkask,fkasked,V;PST,8,7.001723
374,tmwgy,tmwgyd,V;PST,7,25.338642
375,revdrse,revdrsed,V;PST,9,10.503146
376,wost,wostd,V;PST,6,10.433254
377,eomq,eomqed,V;PST,7,8.931509
378,gzdg,gzdgged,V;PST,8,11.791699
379,pyozett,pyozetted,V;PST,10,14.1469555
380,recovyr,recovyred,V;PST,10,11.37364
381,chahser,chahsered,V;PST,10,8.5961685
382,rggbr,rggbred,V;PST,8,11.414587
383,bilrpw,bilrpwed,V;PST,9,11.822658
384,hkain,hkained,V;PST,8,7.413225
385,pew,pewed,V;PST,6,4.7017927
386,cvbsel,cvbseled,V;PST,9,15.52231
387,ikqlxepce,ikqlxepced,V;PST,11,24.901901
388,rakm,rakmd,V;PST,6,9.1815
389,ctyhk,ctyhked,V;PST,8,9.50931
390,pkbqndun,pkbqnduned,V;PST,11,18.579298
391,tcile,tciled,V;PST,7,8.284208
392,klht,klhtted,V;PST,8,9.513721
393,lnsr,lnsred,V;PST,7,14.05151
394,pteseut,pteseuted,V;PST,10,15.185183
395,fopn,fopned,V;PST,7,6.295168
396,dudbble,dudbbled,V;PST,9,13.75939
397,pukr,pukred,V;PST,7,8.995884
398,coaymelend,coaymelended,V;PST,13,15.319107
399,pdpse,pdpsed,V;PST,7,11.5151415
400,sfafion,sfafioned,V;PST,10,7.7202992
401,sravel,sraveled,V;PST,9,7.5121803
402,bylqom,bylqomed,V;PST,9,10.273283
403,crzwl,crzwled,V;PST,8,8.995836
404,plactrbe,plactrbed,V;PST,10,10.957694
405,ncaur,ncaurred,V;PST,9,8.626221
406,shtp,shtpped,V;PST,8,9.27409
407,xoedx,xoedxed,V;PST,8,11.424816
408,selas,selased,V;PST,8,6.257718
409,tnamq,tnamqed,V;PST,8,8.576488
410,srgyent,srgyented,V;PST,10,10.942135
411,bkomaom,bkomaomed,V;PST,10,8.637418
412,pbjtd,pbjtdd,V;PST,7,11.437644
413,aip,aipped,V;PST,7,6.9004054
414,ornjmsst,ornjmssted,V;PST,11,15.832278
415,jeql,jeqled,V;PST,7,6.7872324
416,seeeten,seeetened,V;PST,10,9.235856
417,sditch,sditched,V;PST,9,6.5949574
418,nkstae,nkstaed,V;PST,8,15.445457
419,mhumb,mhumbed,V;PST,8,7.0034637
420,brjathe,brjathed,V;PST,9,8.689347
421,dwyluqb,dwyluqbed,V;PST,10,13.866375
422,griln,grilned,V;PST,8,10.115452
423,ovcrwhelm,ovcrwhelmed,V;PST,12,17.46659
424,ane,aned,V;PST,5,3.8989513
425,fijic,fijicked,V;PST,9,7.648382
426,svpawk,svpawked,V;PST,9,11.957605
427,nswmc,nswmced,V;PST,8,21.975496
428,evajuate,evajuated,V;PST,10,10.321469
429,hbbeyrbte,hbbeyrbted,V;PST,11,21.050388
430,cokw,cokwed,V;PST,7,6.609578
431,fbizf,fbizfd,V;PST,7,16.478487
432,woyy,woyyed,V;PST,7,5.604753
433,etit,etited,V;PST,7,5.1801443
434,mgmrqe,mgmrqed,V;PST,8,23.62669
435,ivzup,ivzuped,V;PST,8,15.982159
436,tkw,tkwed,V;PST,6,8.627319
437,rjwxtd,rjwxtded,V;PST,9,13.407546
438,hanule,hanuled,V;PST,8,6.8538985
439,ulcp,ulcpped,V;PST,8,9.298606
440,rejjcme,rejjcmed,V;PST,9,13.900573
441,foncy,foncied,V;PST,8,8.130444
442,ftean,fteaned,V;PST,8,7.6554127
443,fvaup,fvauped,V;PST,8,8.904515
444,aeact,aeacted,V;PST,8,12.411299
445,iqair,iqaired,V;PST,8,14.908504
446,crexw,crexwed,V;PST,8,7.6681824
447,ltdm,ltdmed,V;PST,7,13.920484
448,glqrify,glqrified,V;PST,10,11.350651
449,wapl,wapld,V;PST,6,8.8922205
450,fbhr,fbhrred,V;PST,8,13.178878
451,assave,assaved,V;PST,8,6.757525
452,cdasx,cdasxd,V;PST,7,13.843517
453,conkmdbr,conkmdbred,V;PST,11,18.889103
454,colfkrt,colfkrted,V;PST,10,21.579126
455,dose,dosed,V;PST,6,4.171443
456,nour,noured,V;PST,7,6.2341657
457,nnlxt,nnlxtted,V;PST,9,16.491058
458,dhmjod,dhmjoded,V;PST,9,22.472973
459,ecllome,ecllomed,V;PST,9,9.243339
460,nkigh,nkighed,V;PST,8,12.064999
461,tigdtmn,tigdtmned,V;PST,10,17.445919
462,yehnm,yehnmed,V;PST,8,9.779356
463,pyrfcrm,pyrfcrmed,V;PST,10,11.424382
464,sommgtault,sommgtaulted,V;PST,13,25.71116
465,trnpr,trnpred,V;PST,8,8.858268
466,respond,responded,V;PST,10,7.145957
467,dkdcuws,dkdcuwsed,V;PST,10,17.65492
468,vaay,vaaied,V;PST,7,5.9093585
469,toz,tozd,V;PST,5,7.856228
470,swgvwy,swgvwyed,V;PST,9,16.053663
471,crsprle,crsprled,V;PST,9,7.648786
472,jjttinnn,jjttinnned,V;PST,11,22.725227
473,seexixe,seexixed,V;PST,9,12.996917
474,rznf,rznfd,V;PST,6,15.147809
475,jyg,jygged,V;PST,7,6.410697
476,cpmvseys,cpmvseysed,V;PST,11,22.117306
477,lxmg,lxmgged,V;PST,8,15.496937
478,sbtzre,sbtzred,V;PST,8,10.32019
479,rwlau,rwlaued,V;PST,8,13.091836
480,ofzrawe,ofzrawed,V;PST,9,9.41152
481,pvcdaae,pvcdaaed,V;PST,9,20.838352
482,sfuoonh,sfuoonhed,V;PST,10,9.205044
483,cmaw,cmawed,V;PST,7,10.60737
484,xmbs,xmbsed,V;PST,7,17.313797
485,swdenk,swdenked,V;PST,9,12.013812
486,pwre,pwred,V;PST,6,5.3011923
487,trgsbwe,trgsbwed,V;PST,9,14.172638
488,zinhd,zinhded,V;PST,8,11.486914
489,prepaqe,prepaqed,V;PST,9,14.060352
490,tszedhaje,tszedhajed,V;PST,11,18.143772
491,chaenkl,chaenkled,V;PST,10,10.488956
492,wirnih,wirnihed,V;PST,9,7.939611
493,trmbple,trmbpled,V;PST,9,12.791706
494,refyieve,refyieved,V;PST,10,18.180609
495,blmash,blmashed,V;PST,9,9.716639
496,ccvam,ccvammed,V;PST,9,11.971098
497,hafse,hafsed,V;PST,7,5.3294334
498,pjczome,pjczomed,V;PST,9,10.421417
499,dnvert,dnverted,V;PST,9,14.884638
500,comnete,comneted,V;PST,9,7.3455133
501,lovsln,lovslned,V;PST,9,11.549049
502,slkw,slkwed,V;PST,7,6.3354115
503,weld,welded,V;PST,7,5.0983696
504,frosq,frosqed,V;PST,8,7.675396
505,guzzje,guzzjed,V;PST,8,8.874917
506,dxrfnn,dxrfnned,V;PST,9,18.139902
507,gurramhee,gurramheed,V;PST,11,14.821246
508,pgovi,pgovid,V;PST,7,9.552267
509,walhow,walhowed,V;PST,9,7.321002
510,cxqmxt,cxqmxtted,V;PST,10,28.946415
511,didcokfnge,didcokfnged,V;PST,12,27.437435
512,schlrp,schlrpped,V;PST,10,11.938812
513,oppimss,oppimssed,V;PST,10,14.864479
514,qap,qapped,V;PST,7,9.160122
515,pehkl,pehkled,V;PST,8,7.623661
516,didmle,didmled,V;PST,8,7.6043353
517,clspisn,clspisned,V;PST,10,10.26156
518,back,backed,V;PST,7,4.8721676
519,rpob,rpobed,V;PST,7,11.788005
520,hsddle,hsddled,V;PST,8,9.011914
521,nqsbdive,nqsbdived,V;PST,10,23.019194
522,dazil,daziled,V;PST,8,6.5536075
523,absect,absected,V;PST,9,6.993188
524,fuyur,fuyurd,V;PST,7,19.739105
525,ugnoe,ugnoed,V;PST,7,8.999229
526,paqk,paqked,V;PST,7,7.612979
527,nuwna,nuwnad,V;PST,7,9.367871
528,wang,wanged,V;PST,7,4.8639
529,iow,iowed,V;PST,6,5.500508
530,caus,caused,V;PST,7,5.5163345
531,najrote,najroted,V;PST,9,8.3829365
532,hotd,hotdd,V;PST,6,9.978628
533,nump,numped,V;PST,7,5.8591204
534,gird,girded,V;PST,7,6.1158257
535,clsiqnr,clsiqnred,V;PST,10,18.463772
536,ijtvmipbue,ijtvmipbued,V;PST,12,30.003006
537,vrcapirn,vrcapirned,V;PST,11,12.945989
538,ratble,ratbled,V;PST,8,9.235046
539,reyiot,reyioted,V;PST,9,10.549446
540,thqd,thqd,V;PST,5,9.48378
541,szculder,szculdered,V;PST,11,10.174978
542,sekych,sekyched,V;PST,9,11.78549
543,impeovhje,impeovhjed,V;PST,11,17.872524
544,xigm,xigmed,V;PST,7,7.4233522
545,werdome,werdomed,V;PST,9,7.486513
546,pewsvieae,pewsvieaed,V;PST,11,16.258745
547,siazke,siazked,V;PST,8,7.09222
548,rftdmr,rftdmred,V;PST,9,18.985317
549,rothde,rothded,V;PST,8,10.682442
550,rzpeat,rzpeated,V;PST,9,10.089194
551,phrt,phrtted,V;PST,8,11.144794
552,stjeomqine,stjeomqined,V;PST,12,21.305012
553,eoksh,eokshed,V;PST,8,8.745059
554,beder,bedered,V;PST,8,8.77367
555,sngp,sngpped,V;PST,8,10.051398
556,maryet,maryeted,V;PST,9,12.037799
557,cpgp,cpgpped,V;PST,8,10.398947
558,bowl,bowled,V;PST,7,5.173823
559,epwrcxpe,epwrcxped,V;PST,10,16.728676
560,rnae,rnaed,V;PST,6,7.736908
561,cvatest,cvatested,V;PST,10,8.373569
562,amovnt,amovnted,V;PST,9,18.756054
563,jeuk,jeuked,V;PST,7,5.0993595
564,ztp,ztpped,V;PST,7,7.0581994
565,blasp,blasped,V;PST,8,5.5597105
566,sprrp,sprrpped,V;PST,9,11.907597
567,iraglne,iraglned,V;PST,9,15.142856
568,detect,detected,V;PST,9,6.2589273
569,cefz,cefzed,V;PST,7,5.7975755
570,regulabe,regulabed,V;PST,10,11.088044
571,cantent,cantented,V;PST,10,7.12282
572,featppr,featppred,V;PST,10,15.605046
573,mzjb,mzjbed,V;PST,7,15.233452
574,suppregs,suppregsed,V;PST,11,8.949528
575,prccide,prccided,V;PST,9,7.6607847
576,jlpp,jlppped,V;PST,8,10.034591
577,pwpande,pwpanded,V;PST,9,9.324185
578,mimjy,mimjyked,V;PST,9,16.756512
579,chsd,chsd,V;PST,5,8.825155
